season,field,p2o5,k2o,humus,ph,crop,region,yield_plan,yield_fact,fact_plan_dif,fact_plan_dif_abs,fact_plan_div,fact_plan_share_dif
2023,22.47.01.003.00,186.5,174.8,5.9,5.4,Оз.пшеница мягкая,Алтай,3.8,1.8516174734356552,-1.9483825265643446,1.9483825265643446,-0.5127322438327223,-0.5127322438327223
2023,22.47.01.004.00,166.6,147.9,5.6,5.4,Оз.пшеница мягкая,Алтай,3.8,1.4181857291203086,-2.3818142708796914,2.3818142708796914,-0.6267932291788662,-0.6267932291788662
2023,22.47.01.006.02,194.7,195.9,4.0,5.15,Оз.пшеница мягкая,Алтай,3.8,2.187347228801516,-1.612652771198484,1.612652771198484,-0.42438230821012735,-0.42438230821012735
2023,22.47.01.007.02,184.2,171.4,4.4,5.05,Оз.пшеница мягкая,Алтай,3.8,2.1090707188778492,-1.6909292811221506,1.6909292811221506,-0.444981389768987,-0.44498138976898705
2023,22.47.01.008.00,249.0,151.5,3.7,5.2,Оз.пшеница мягкая,Алтай,3.8,2.03,-1.77,1.77,-0.46578947368421053,-0.46578947368421053
2023,22.47.01.010.00,192.7,151.6,4.1,5.2,Оз.пшеница мягкая,Алтай,3.8,2.4934719774409593,-1.3065280225590405,1.3065280225590405,-0.3438231638313265,-0.3438231638313265
2023,22.47.01.011.00,250.6,144.4,4.8,5.2,Оз.пшеница мягкая,Алтай,3.8,2.128764669549104,-1.6712353304508958,1.6712353304508958,-0.4397987711712884,-0.4397987711712884
2023,22.47.01.012.00,249.2,164.2,4.1,5.2,Оз.пшеница мягкая,Алтай,3.8,1.4655949895615867,-2.334405010438413,2.334405010438413,-0.6143171080101087,-0.6143171080101087
2023,22.47.01.013.01,209.3,173.55,4.9,5.25,Оз.пшеница мягкая,Алтай,3.8,2.429483278346111,-1.370516721653889,1.370516721653889,-0.36066229517207604,-0.36066229517207604
2023,22.47.01.030.00,236.4,112.9,3.3,6.1,Яр.пшеница мягкая,Алтай,3.3,1.2385434026638673,-2.0614565973361323,2.0614565973361323,-0.6246838173745856,-0.6246838173745857
